Input image,Inclusive mask,Exclusive mask,LI (overall),LI (SD),LI (min),LI (max),LI_T25 (overall),LI_T25 (SD),wm_LI,wm_lowCI,wm_highCI,Variance Weighting,Clustering,Source path,Lower threshold,Bootstrap sample (percent),Sample size: Minimum,Sample size: Maximum
"BAN12__WG_tstat1.nii,1",LI-temporal-mask,none,-0.026,0.2,-0.45,0.24,0.0035,0.1,-0.12,-0.43,0.18,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN13__WG_tstat1.nii,1",LI-temporal-mask,none,-0.06,0.24,-0.73,0.17,0.034,0.063,-0.15,-0.73,0.12,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,41.6667,5,10000
"BAN14__WG_tstat1.nii,1",LI-temporal-mask,none,0.11,0.12,-0.16,0.43,0.077,0.028,0.12,-0.12,0.35,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"BAN15__WG_tstat1.nii,1",LI-temporal-mask,none,0.75,0.13,0.51,0.89,0.77,0.079,0.72,0.57,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"BAN16__WG_tstat1.nii,1",LI-temporal-mask,none,-0.35,0.31,-0.85,0.066,-0.31,0.22,-0.45,-0.85,-0.044,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN17__WG_tstat1.nii,1",LI-temporal-mask,none,0.34,0.24,-0.2,0.63,0.4,0.084,0.21,-0.18,0.57,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"BAN18__WG_tstat1.nii,1",LI-temporal-mask,none,0.13,0.062,0.059,0.38,0.12,0.012,0.12,0.068,0.35,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN19__WG_tstat1.nii,1",LI-temporal-mask,none,-0.7,0.18,-0.94,-0.4,-0.71,0.12,-0.71,-0.94,-0.5,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"BAN21__WG_tstat1.nii,1",LI-temporal-mask,none,0.72,0.15,0.45,0.95,0.73,0.076,0.68,0.53,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,27.7778,5,10000
"BAN22__WG_tstat1.nii,1",LI-temporal-mask,none,-0.41,0.26,-0.89,-0.036,-0.41,0.14,-0.5,-0.89,-0.1,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"BAN23__WG_tstat1.nii,1",LI-temporal-mask,none,0.19,0.27,-0.079,0.75,0.1,0.13,0.3,-0.068,0.72,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"BAN24__WG_tstat1.nii,1",LI-temporal-mask,none,0.18,0.23,-0.52,0.46,0.21,0.062,0.11,-0.51,0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"OXF01__WG_tstat1.nii,1",LI-temporal-mask,none,0.47,0.22,0.19,0.87,0.44,0.12,0.5,0.24,0.85,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"OXF02__WG_tstat1.nii,1",LI-temporal-mask,none,0.092,0.23,-0.61,0.29,0.18,0.012,0.003,-0.6,0.24,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF03__WG_tstat1.nii,1",LI-temporal-mask,none,0.63,0.21,0.33,0.94,0.62,0.14,0.57,0.38,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF04__WG_tstat1.nii,1",LI-temporal-mask,none,0.13,0.14,-0.44,0.27,0.17,0.015,0.08,-0.43,0.21,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,41.6667,5,10000
"OXF05__WG_tstat1.nii,1",LI-temporal-mask,none,0.87,0.094,0.67,0.98,0.89,0.049,0.72,0.73,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,26.3158,5,10000
"OXF06__WG_tstat1.nii,1",LI-temporal-mask,none,0.35,0.15,0.091,0.61,0.32,0.077,0.39,0.16,0.57,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"OXF07__WG_tstat1.nii,1",LI-temporal-mask,none,0.66,0.21,0.31,0.96,0.68,0.13,0.64,0.36,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF08__WG_tstat1.nii,1",LI-temporal-mask,none,-0.097,0.16,-0.59,0.014,-0.033,0.017,-0.15,-0.59,-0.01,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"OXF09__WG_tstat1.nii,1",LI-temporal-mask,none,-0.23,0.26,-0.74,0.065,-0.18,0.17,-0.34,-0.74,0.018,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"OXF10__WG_tstat1.nii,1",LI-temporal-mask,none,0.0067,0.14,-0.14,0.5,-0.037,0.018,0.056,-0.13,0.46,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,33.3333,5,10000
"OXF11__WG_tstat1.nii,1",LI-temporal-mask,none,0.75,0.13,0.49,0.94,0.77,0.059,0.7,0.6,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF12__WG_tstat1.nii,1",LI-temporal-mask,none,0.27,0.19,0.039,0.81,0.22,0.046,0.33,0.11,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF13__WG_tstat1.nii,1",LI-temporal-mask,none,0.49,0.25,0.14,0.91,0.49,0.16,0.57,0.19,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF14__WG_tstat1.nii,1",LI-temporal-mask,none,0.32,0.18,0.058,0.7,0.3,0.086,0.38,0.096,0.69,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,33.3333,5,10000
"OXF15__WG_tstat1.nii,1",LI-temporal-mask,none,0.16,0.15,-0.049,0.53,0.13,0.079,0.21,-0.012,0.49,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"OXF16__WG_tstat1.nii,1",LI-temporal-mask,none,0.69,0.14,0.48,0.94,0.66,0.074,0.62,0.52,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"OXF17__WG_tstat1.nii,1",LI-temporal-mask,none,0.19,0.21,-0.089,0.51,0.18,0.14,0.28,-0.067,0.47,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF18__WG_tstat1.nii,1",LI-temporal-mask,none,0.0044,0.081,-0.16,0.14,0.01,0.051,-0.029,-0.15,0.087,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF19__WG_tstat1.nii,1",LI-temporal-mask,none,0.61,0.2,0.27,0.92,0.6,0.11,0.59,0.32,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,35.7143,5,10000
"OXF20__WG_tstat1.nii,1",LI-temporal-mask,none,0.59,0.26,0.24,0.97,0.57,0.15,0.59,0.27,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,31.25,5,10000
"OXF21__WG_tstat1.nii,1",LI-temporal-mask,none,0.54,0.29,0.1,0.9,0.56,0.19,0.6,0.17,0.89,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"OXF22__WG_tstat1.nii,1",LI-temporal-mask,none,0.24,0.09,0.11,0.49,0.21,0.024,0.25,0.13,0.44,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF23__WG_tstat1.nii,1",LI-temporal-mask,none,-0.03,0.16,-0.24,0.46,-0.062,0.044,0.0033,-0.23,0.43,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"OXF24__WG_tstat1.nii,1",LI-temporal-mask,none,0.13,0.33,-0.67,0.48,0.24,0.09,-0.026,-0.66,0.4,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF25__WG_tstat1.nii,1",LI-temporal-mask,none,0.34,0.15,-0.14,0.56,0.37,0.072,0.3,-0.12,0.48,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,38.4615,5,10000
"OXF26__WG_tstat1.nii,1",LI-temporal-mask,none,0.13,0.11,-0.15,0.28,0.16,0.023,0.08,-0.13,0.22,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF27__WG_tstat1.nii,1",LI-temporal-mask,none,0.4,0.23,0.13,0.88,0.35,0.11,0.47,0.16,0.87,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN01_SG_tstat1.nii,1",LI-temporal-mask,none,-0.15,0.17,-0.68,0.036,-0.11,0.074,-0.22,-0.67,-0.019,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"BAN02_SG_tstat1.nii,1",LI-temporal-mask,none,-0.5,0.15,-0.89,-0.27,-0.51,0.067,-0.52,-0.89,-0.36,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN03_SG_tstat1.nii,1",LI-temporal-mask,none,-0.79,0.12,-0.98,-0.59,-0.78,0.067,-0.73,-0.97,-0.67,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"BAN04_SG_tstat1.nii,1",LI-temporal-mask,none,-0.12,0.14,-0.48,0.074,-0.078,0.014,-0.15,-0.46,0.022,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN05_SG_tstat1.nii,1",LI-temporal-mask,none,0.32,0.18,0.15,0.78,0.27,0.071,0.37,0.18,0.77,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,55.5556,5,10000
"BAN06_SG_tstat1.nii,1",LI-temporal-mask,none,0.049,0.085,-0.04,0.29,0.0091,0.015,0.074,-0.026,0.24,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"BAN07_SG_tstat1.nii,1",LI-temporal-mask,none,0.17,0.18,0.012,0.68,0.092,0.041,0.23,0.023,0.67,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN08_SG_tstat1.nii,1",LI-temporal-mask,none,-0.32,0.25,-0.83,-0.026,-0.28,0.15,-0.42,-0.82,-0.074,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"BAN09_SG_tstat1.nii,1",LI-temporal-mask,none,0.46,0.21,0.15,0.94,0.44,0.084,0.51,0.23,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN10_SG_tstat1.nii,1",LI-temporal-mask,none,0.17,0.24,-0.077,0.74,0.089,0.098,0.26,-0.061,0.72,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN11_SG_tstat1.nii,1",LI-temporal-mask,none,0.31,0.21,-0.2,0.62,0.33,0.086,0.24,-0.18,0.55,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,45.4545,5,10000
"BAN12_SG_tstat1.nii,1",LI-temporal-mask,none,0.57,0.14,0.29,0.79,0.59,0.068,0.58,0.38,0.76,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN13_SG_tstat1.nii,1",LI-temporal-mask,none,-0.0088,0.11,-0.17,0.27,-0.02,0.063,-0.013,-0.16,0.22,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"BAN14_SG_tstat1.nii,1",LI-temporal-mask,none,0.67,0.24,0.28,0.97,0.7,0.16,0.71,0.34,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"BAN15_SG_tstat1.nii,1",LI-temporal-mask,none,0.62,0.21,0.27,0.95,0.64,0.11,0.66,0.33,0.95,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN16_SG_tstat1.nii,1",LI-temporal-mask,none,-0.28,0.29,-0.85,0.022,-0.2,0.17,-0.39,-0.84,-0.035,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN17_SG_tstat1.nii,1",LI-temporal-mask,none,0.4,0.27,0.066,0.94,0.34,0.11,0.46,0.13,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,33.3333,5,10000
"BAN18_SG_tstat1.nii,1",LI-temporal-mask,none,0.46,0.2,0.2,0.77,0.43,0.12,0.52,0.24,0.76,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"BAN19_SG_tstat1.nii,1",LI-temporal-mask,none,-0.51,0.15,-0.87,-0.32,-0.47,0.053,-0.53,-0.87,-0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,50,5,10000
"BAN21_SG_tstat1.nii,1",LI-temporal-mask,none,0.11,0.2,-0.12,0.67,0.069,0.08,0.2,-0.099,0.64,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN22_SG_tstat1.nii,1",LI-temporal-mask,none,0.32,0.19,0.12,0.77,0.27,0.097,0.38,0.14,0.76,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN23_SG_tstat1.nii,1",LI-temporal-mask,none,0.011,0.18,-0.46,0.29,0.013,0.08,0.0041,-0.45,0.24,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"BAN24_SG_tstat1.nii,1",LI-temporal-mask,none,0.29,0.1,0.096,0.46,0.3,0.054,0.28,0.15,0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"OXF01__SG_tstat1.nii,1",LI-temporal-mask,none,-0.029,0.2,-0.7,0.13,0.039,0.017,-0.098,-0.69,0.088,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,45.4545,5,10000
"OXF02__SG_tstat1.nii,1",LI-temporal-mask,none,0.6,0.22,0.29,0.96,0.57,0.11,0.61,0.36,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,50,5,10000
"OXF03__SG_tstat1.nii,1",LI-temporal-mask,none,0.41,0.28,0.086,0.98,0.34,0.12,0.49,0.13,0.98,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"OXF04__SG_tstat1.nii,1",LI-temporal-mask,none,-0.072,0.17,-0.65,0.088,-0.035,0.0091,-0.1,-0.65,0.063,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF05__SG_tstat1.nii,1",LI-temporal-mask,none,0.62,0.14,0.32,0.78,0.66,0.067,0.62,0.43,0.77,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF06__SG_tstat1.nii,1",LI-temporal-mask,none,0.6,0.22,0.24,0.94,0.6,0.12,0.63,0.33,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF07__SG_tstat1.nii,1",LI-temporal-mask,none,0.23,0.16,0.016,0.54,0.2,0.085,0.29,0.069,0.5,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,31.25,5,10000
"OXF08__SG_tstat1.nii,1",LI-temporal-mask,none,0.17,0.15,0.033,0.66,0.13,0.02,0.2,0.044,0.63,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"OXF09__SG_tstat1.nii,1",LI-temporal-mask,none,0.54,0.28,0.11,0.88,0.56,0.19,0.63,0.18,0.87,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF10__SG_tstat1.nii,1",LI-temporal-mask,none,0.2,0.18,0.0052,0.75,0.15,0.067,0.26,0.029,0.74,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF11__SG_tstat1.nii,1",LI-temporal-mask,none,0.6,0.11,0.46,0.92,0.56,0.022,0.56,0.49,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"OXF12__SG_tstat1.nii,1",LI-temporal-mask,none,0.54,0.21,0.16,0.9,0.57,0.084,0.57,0.26,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"OXF13__SG_tstat1.nii,1",LI-temporal-mask,none,0.43,0.16,0.2,0.81,0.4,0.055,0.46,0.26,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"OXF14__SG_tstat1.nii,1",LI-temporal-mask,none,-0.15,0.18,-0.55,0.051,-0.1,0.097,-0.22,-0.54,-0.0027,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"OXF15__SG_tstat1.nii,1",LI-temporal-mask,none,0.29,0.21,-0.014,0.64,0.29,0.11,0.37,0.0046,0.63,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"OXF16__SG_tstat1.nii,1",LI-temporal-mask,none,0.51,0.26,0.15,0.97,0.47,0.13,0.58,0.22,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF17__SG_tstat1.nii,1",LI-temporal-mask,none,0.25,0.26,-0.074,0.65,0.22,0.19,0.35,-0.052,0.63,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"OXF18__SG_tstat1.nii,1",LI-temporal-mask,none,0.2,0.15,-0.11,0.45,0.19,0.07,0.23,-0.11,0.42,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF19__SG_tstat1.nii,1",LI-temporal-mask,none,0.36,0.23,0.089,0.87,0.3,0.093,0.4,0.13,0.84,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"OXF20__SG_tstat1.nii,1",LI-temporal-mask,none,0.65,0.24,0.25,0.98,0.66,0.15,0.65,0.38,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,41.6667,5,10000
"OXF21__SG_tstat1.nii,1",LI-temporal-mask,none,0.48,0.3,0.075,0.87,0.49,0.23,0.58,0.11,0.86,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,41.6667,5,10000
"OXF22__SG_tstat1.nii,1",LI-temporal-mask,none,0.24,0.15,-0.083,0.46,0.25,0.094,0.26,-0.077,0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,45.4545,5,10000
"OXF23__SG_tstat1.nii,1",LI-temporal-mask,none,-0.54,0.3,-0.94,-0.12,-0.54,0.2,-0.62,-0.93,-0.21,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF24__SG_tstat1.nii,1",LI-temporal-mask,none,0.37,0.17,0.18,0.81,0.32,0.064,0.41,0.2,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"OXF25__SG_tstat1.nii,1",LI-temporal-mask,none,0.41,0.22,0.012,0.74,0.41,0.14,0.43,0.026,0.71,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF26__SG_tstat1.nii,1",LI-temporal-mask,none,0.16,0.13,-0.11,0.35,0.18,0.046,0.11,-0.088,0.3,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF27__SG_tstat1.nii,1",LI-temporal-mask,none,0.6,0.25,0.25,0.98,0.59,0.15,0.66,0.3,0.98,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"BAN01_PD_tstat1.nii,1",LI-temporal-mask,none,-0.41,0.27,-0.94,-0.066,-0.33,0.13,-0.48,-0.94,-0.2,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"BAN02_PD_tstat1.nii,1",LI-temporal-mask,none,-0.055,0.15,-0.44,0.2,-0.054,0.051,-0.069,-0.43,0.15,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN03_PD_tstat1.nii,1",LI-temporal-mask,none,-0.29,0.24,-0.79,0.011,-0.24,0.12,-0.38,-0.79,-0.062,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,33.3333,5,10000
"BAN04_PD_tstat1.nii,1",LI-temporal-mask,none,-0.11,0.15,-0.43,0.11,-0.083,0.07,-0.17,-0.42,0.043,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"BAN05_PD_tstat1.nii,1",LI-temporal-mask,none,-0.41,0.25,-0.91,-0.039,-0.38,0.12,-0.49,-0.91,-0.19,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"BAN06_PD_tstat1.nii,1",LI-temporal-mask,none,-0.33,0.23,-0.75,-0.036,-0.29,0.13,-0.41,-0.74,-0.1,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,55.5556,5,10000
"BAN07_PD_tstat1.nii,1",LI-temporal-mask,none,0.31,0.2,0.011,0.68,0.29,0.11,0.39,0.058,0.65,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN08_PD_tstat1.nii,1",LI-temporal-mask,none,0.077,0.16,-0.34,0.35,0.076,0.078,0.11,-0.33,0.3,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN09_PD_tstat1.nii,1",LI-temporal-mask,none,-0.069,0.19,-0.36,0.5,-0.079,0.048,-0.038,-0.35,0.46,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN10_PD_tstat1.nii,1",LI-temporal-mask,none,-0.27,0.13,-0.67,-0.088,-0.25,0.045,-0.25,-0.67,-0.15,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"BAN11_PD_tstat1.nii,1",LI-temporal-mask,none,-0.13,0.22,-0.57,0.12,-0.072,0.13,-0.22,-0.56,0.046,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,45.4545,5,10000
"BAN12_PD_tstat1.nii,1",LI-temporal-mask,none,-0.16,0.26,-0.77,0.11,-0.072,0.11,-0.26,-0.76,0.047,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,27.7778,5,10000
"BAN13_PD_tstat1.nii,1",LI-temporal-mask,none,-0.28,0.15,-0.64,0.0091,-0.27,0.037,-0.32,-0.63,-0.21,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN14_PD_tstat1.nii,1",LI-temporal-mask,none,0.22,0.14,0.025,0.5,0.2,0.077,0.27,0.062,0.45,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"BAN15_PD_tstat1.nii,1",LI-temporal-mask,none,-0.09,0.41,-0.85,0.36,0.0071,0.24,-0.29,-0.85,0.28,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,45.4545,5,10000
"BAN16_PD_tstat1.nii,1",LI-temporal-mask,none,-0.25,0.24,-0.81,0.023,-0.18,0.081,-0.34,-0.81,-0.071,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,29.4118,5,10000
"BAN17_PD_tstat1.nii,1",LI-temporal-mask,none,-0.22,0.17,-0.5,0.2,-0.23,0.077,-0.18,-0.48,0.14,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN18_PD_tstat1.nii,1",LI-temporal-mask,none,-0.38,0.31,-0.95,-0.04,-0.3,0.16,-0.49,-0.95,-0.11,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN19_PD_tstat1.nii,1",LI-temporal-mask,none,-0.42,0.28,-0.93,-0.11,-0.35,0.16,-0.52,-0.93,-0.18,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN21_PD_tstat1.nii,1",LI-temporal-mask,none,-0.36,0.24,-0.9,-0.093,-0.27,0.076,-0.42,-0.9,-0.19,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,29.4118,5,10000
"BAN22_PD_tstat1.nii,1",LI-temporal-mask,none,-0.2,0.26,-0.75,0.063,-0.13,0.14,-0.29,-0.75,0.013,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN23_PD_tstat1.nii,1",LI-temporal-mask,none,0.37,0.3,0.01,0.9,0.32,0.17,0.46,0.04,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,33.3333,5,10000
"BAN24_PD_tstat1.nii,1",LI-temporal-mask,none,-0.22,0.21,-0.77,0.12,-0.21,0.071,-0.3,-0.76,-0.022,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,71.4286,5,10000
"OXF01__PD_tstat1.nii,1",LI-temporal-mask,none,-0.18,0.13,-0.45,0.067,-0.17,0.066,-0.21,-0.44,0.033,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,35.7143,5,10000
"OXF02__PD_tstat1.nii,1",LI-temporal-mask,none,-0.022,0.16,-0.45,0.21,0.0083,0.044,-0.053,-0.44,0.16,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,71.4286,5,10000
"OXF03__PD_tstat1.nii,1",LI-temporal-mask,none,0.058,0.094,-0.28,0.21,0.079,0.012,0.029,-0.27,0.16,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,35.7143,5,10000
"OXF04__PD_tstat1.nii,1",LI-temporal-mask,none,-0.08,0.13,-0.56,0.039,-0.036,0.0091,-0.11,-0.55,-0.006,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,41.6667,5,10000
"OXF05__PD_tstat1.nii,1",LI-temporal-mask,none,-0.12,0.3,-0.55,0.28,-0.1,0.21,-0.27,-0.54,0.18,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"OXF06__PD_tstat1.nii,1",LI-temporal-mask,none,-0.0097,0.063,-0.12,0.18,-0.013,0.031,-0.017,-0.1,0.14,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"OXF07__PD_tstat1.nii,1",LI-temporal-mask,none,-0.27,0.28,-0.76,0.12,-0.22,0.15,-0.39,-0.76,0.0055,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,71.4286,5,10000
"OXF08__PD_tstat1.nii,1",LI-temporal-mask,none,0.16,0.15,0.04,0.71,0.11,0.0095,0.19,0.047,0.69,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"OXF09__PD_tstat1.nii,1",LI-temporal-mask,none,-0.29,0.26,-0.8,0.042,-0.22,0.093,-0.39,-0.8,-0.041,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,55.5556,5,10000
"OXF10__PD_tstat1.nii,1",LI-temporal-mask,none,0.28,0.22,-0.0044,0.8,0.23,0.11,0.36,0.048,0.79,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"OXF11__PD_tstat1.nii,1",LI-temporal-mask,none,-0.44,0.31,-0.95,-0.035,-0.39,0.18,-0.53,-0.95,-0.14,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"OXF12__PD_tstat1.nii,1",LI-temporal-mask,none,0.27,0.29,-0.06,0.86,0.19,0.15,0.39,-0.02,0.84,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,50,5,10000
"OXF13__PD_tstat1.nii,1",LI-temporal-mask,none,0.32,0.19,0.068,0.76,0.28,0.091,0.38,0.14,0.74,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"OXF14__PD_tstat1.nii,1",LI-temporal-mask,none,-0.23,0.22,-0.76,0.11,-0.2,0.073,-0.31,-0.76,-0.018,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
